Year,Type,Country,Activity,Sex,Age,Fatal (Y/N)
2017,Unprovoked,USA,Swimming,M,22,N
2017,Provoked,BRAZIL,Grabbing shark for a selfie,F,NA,N
2017,Boating,SOUTH AFRICA,Kayak fishing,M,NA,N
2017,Boating,USA,Tagging sharks,NA,NA,N
2017,Unprovoked,BAHAMAS,Scuba Diving,M,37,N
2017,Unprovoked,BRAZIL,Swimming,M,21,N
2017,Unprovoked,USA,NA,M,Teen,N
2017,Unprovoked,AUSTRALIA,Scuba Diving,M,55,N
2017,Unprovoked,AUSTRALIA,Swimming,M,57,N
2017,Unprovoked,USA,NA,M,NA,N
2017,Unprovoked,INDONESIA,Surfing,M,48,N
NA,Invalid,AUSTRALIA,Spearfishing,M,35,NA
2017,Unprovoked,USA,Wading,M,47,N
2017,Invalid,AUSTRALIA,Wading,M,20,NA
2016,Unprovoked,USA,Surfing,M,16,N
2016,Unprovoked,AUSTRALIA,Snorkeling,F,NA,N
2016,Unprovoked,SOUTH AFRICA,Surf skiing,M,55,N
2016,Unprovoked,AUSTRALIA,Free diving,M,61,N
2016,Unprovoked,FRENCH POLYNESIA,Fishing,M,40s,N
2016,Invalid,USA,Surfing,M,19,NA
2016,Provoked,AUSTRALIA,Surf fishing,M,20,N
2016,Unprovoked,AUSTRALIA,Surfing,M,65,N
2016,Provoked,AUSTRALIA,Fishing,M,73,N
2016,Unprovoked,USA,Floating,F,58,N
2016,Unprovoked,USA,Surfing,M,41,N
2016,Unprovoked,USA,Surfing,M,42,N
2016,Unprovoked,AUSTRALIA,Surfing,M,36,N
2016,Unprovoked,USA,Surfing,M,36,N
2016,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2016,Unprovoked,USA,Snorkeling,F,66,N
2016,Invalid,MEXICO,Cage Diving,M,NA,NA
2016,Unprovoked,AUSTRALIA,Surfing,M,25,N
2016,Unprovoked,USA,Surfing,M,29,N
2016,Unprovoked,USA,Surfing,M,21,N
2016,Unprovoked,USA,Surfng,M,32,N
2016,Unprovoked,AUSTRALIA,Surfing,M,17,N
2016,Unprovoked,USA,Surfing,M,16,N
2016,Unprovoked,USA,Surfing,M,36,N
2016,Unprovoked,USA,Surfing,M,43,N
2016,Unprovoked,USA,Surfing,M,43,N
2016,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2016,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2016,Boating,AUSTRALIA,Fishing,NA,NA,N
2016,Unprovoked,USA,Wading,M,60s,N
2016,Unprovoked,USA,Swimming,F,51,N
2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,50,Y
2016,Unprovoked,USA,Boogie boarding,F,12,N
2016,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2016,Unprovoked,USA,Body boarding,M,9,N
2016,Unprovoked,USA,Spearfishing,M,22,N
2016,Invalid,MEXICO,Cage Diving,NA,NA,NA
2016,Unprovoked,USA,Surfing,M,25,N
2016,Unprovoked,USA,Surfing,M,37,N
2016,Unprovoked,REUNION,Surfing,M,20,N
2016,Unprovoked,USA,Wading,M,49,N
2016,Unprovoked,BAHAMAS,Snorkeling,M,15,N
2016,Unprovoked,USA,SUP Foil boarding,M,21,N
2016,Unprovoked,USA,Surfing,M,22,N
2016,Unprovoked,SPAIN,Swimming,M,40,N
2016,Unprovoked,CHINA,Swimming,M,72,N
2016,Boating,AUSTRALIA,Kayaking,M,NA,N
2016,Provoked,USA,Lobstering,M,43,N
